시군구명,X,Y
종로구,126.9773213,37.59491732
중구,126.9959681,37.56014356
용산구,126.979907,37.53138497
성동구,127.0410585,37.55102969
광진구,127.0857435,37.54670608
동대문구,127.0548481,37.58195655
중랑구,127.0928803,37.59780259
성북구,127.0175795,37.6057019
강북구,127.011189,37.64347391
도봉구,127.0323688,37.66910208
노원구,127.0750347,37.65251105
은평구,126.9270229,37.61921128
서대문구,126.9390631,37.57778531
마포구,126.90827,37.55931349
양천구,126.8554777,37.52478941
강서구,126.822807,37.56123543
구로구,126.8563006,37.49440543
금천구,126.9008202,37.46056756
영등포구,126.9101695,37.52230829
동작구,126.9516415,37.49887688
관악구,126.9453372,37.46737569
서초구,127.0312203,37.47329547
강남구,127.0629852,37.49664389
송파구,127.115295,37.50561924
강동구,127.1470118,37.55045024
